payoff_tx_hash,payoff_ts,token_symbol,victim_address,attack_type,attack_tx_hash,attack_attempts,payoff_value_usd,hours_until_payoff,optimism_link
0xd75b0d1878f797f3fe015a747af0b646d89976b15c95d78c10e912490efb21a7,2025-05-11 07:34:31.000000 UTC,USDC.e,0x2db9b7df2c8cd4ec43624609d33e18895e6e2201,zero_value,0xa813633b7a73fdb6642b0e7749d97631a69a9ecc36ffff5682a4783ca3e88acf,"[0x69dd99f679d64a3b853381302c297d042a81cb0de2057ca86d6c5a17cb23c037,0x8f824cc8079ab19800de39627b5f6de1ababe71489acb78102c24e2793f458a5,0xa813633b7a73fdb6642b0e7749d97631a69a9ecc36ffff5682a4783ca3e88acf,0xd78e67df1b24d0f7e1057f30caa2c24c72dcbface87155ff4f7ad8d765d29ae1,0x542392b4f02f847526a2602242114622ad53dc67c879c1e8e2d83f15adc40e8e,0xe697d70248fdd11317d9bb6b0c16658fdc5a9f295235218bf68275b9e1c6ee4e,0x69dd99f679d64a3b853381302c297d042a81cb0de2057ca86d6c5a17cb23c037]",12000,816,https://optimistic.etherscan.io/0xd75b0d1878f797f3fe015a747af0b646d89976b15c95d78c10e912490efb21a7
0x1928af9c99d962cc4fdbf3692e43cc22681c7c7883658194306478e8f23a26b7,2025-04-25 12:35:39.000000 UTC,USDC.e,0xea61c800b9c33fc75c72fd20f973c7f43746f24e,zero_value,0xb9e41a4608972052582624337e7ae8dcd9cc86e94a5f7b828fc93b97ae4702d3,[0xb9e41a4608972052582624337e7ae8dcd9cc86e94a5f7b828fc93b97ae4702d3],3574.432348,188,https://optimistic.etherscan.io/0x1928af9c99d962cc4fdbf3692e43cc22681c7c7883658194306478e8f23a26b7
0xd13d8d1b3ecf9e3adee98881090c73c57e55f8e69c4d2e6aac98e6c9858563e0,2024-12-08 16:04:23.000000 UTC,USDT,0x3abf6e4634c4bb9146709883fd69bf3ca7839dbc,zero_value,0xbb12ce59a21bee7feaac97cdadd828d216c56bfd961a7f11523470b84a67058f,[0xbb12ce59a21bee7feaac97cdadd828d216c56bfd961a7f11523470b84a67058f],2750,266,https://optimistic.etherscan.io/0xd13d8d1b3ecf9e3adee98881090c73c57e55f8e69c4d2e6aac98e6c9858563e0
0xf57bc44ec04cd6b5e0cfddbba523176b1dbbccec83618c0833d1b80cd3b1fb43,2024-12-09 23:26:47.000000 UTC,USDC.e,0x19b031eca4d6eacda4f659c860be25f77e6aed78,zero_value,0x83fc710281d7b164a93e7b88ecfb6f4beef0dd13f05775e5d8f789198e342ca7,[0x83fc710281d7b164a93e7b88ecfb6f4beef0dd13f05775e5d8f789198e342ca7],2616.088978,0,https://optimistic.etherscan.io/0xf57bc44ec04cd6b5e0cfddbba523176b1dbbccec83618c0833d1b80cd3b1fb43
0x5c0c0135c8bfd9b04be0e1a8b4ad46926e9f88e2552e22193b3bf5531eaf5bf0,2025-06-05 15:39:07.000000 UTC,USDT,0xeb42f727e09a2707b2b79f2a49f39b97630cad29,tiny_transfer,0x6ecc1ca525f3fff7c38c675706a8f561fb321147e500873595ee257880e1dd7e,[0x6ecc1ca525f3fff7c38c675706a8f561fb321147e500873595ee257880e1dd7e],1591.700202,0,https://optimistic.etherscan.io/0x5c0c0135c8bfd9b04be0e1a8b4ad46926e9f88e2552e22193b3bf5531eaf5bf0
0xd99a5af876b6f9173a13b2200831465386c88c11940fdb961e7d2926979ef1fc,2024-12-19 18:35:39.000000 UTC,USDT,0x871ea08001db863550e3e8f09b81a1f97c1efa7e,zero_value,0xe1c0d1279357dd9324d8fcad76d53eb70291962e663503a14c663b87f58d3c41,[0xe1c0d1279357dd9324d8fcad76d53eb70291962e663503a14c663b87f58d3c41],1382.684345,58,https://optimistic.etherscan.io/0xd99a5af876b6f9173a13b2200831465386c88c11940fdb961e7d2926979ef1fc
0x794c5332a6679399c65e0841331674b2aa7977eb632c77b73ad70122b85eed01,2025-01-21 12:24:29.000000 UTC,USDT,0xef4906825463671e3e6ba1a962682617ef33c40f,zero_value,0x53201f574ed18195ac812d2e41fc66fb1102f851718834fad915248ebb733593,[0x53201f574ed18195ac812d2e41fc66fb1102f851718834fad915248ebb733593],1199.903,0,https://optimistic.etherscan.io/0x794c5332a6679399c65e0841331674b2aa7977eb632c77b73ad70122b85eed01
0x0e0f76cd5147d57a71caf656511d119fdf4583ff2d6a4059ca1b9d6dea7a90ef,2024-11-20 16:32:47.000000 UTC,USDT,0x9f7fed9eaf338d4cced451596597c1b2c38466a3,zero_value,0xb0e75af78205c300b6645a6d60f38dd3b97ba0c47c4d23678f989181f1b28e5c,"[0x9485385f7f440fad211948149ef0252d7c724469d2efafba8ca377bd74151362,0xb0e75af78205c300b6645a6d60f38dd3b97ba0c47c4d23678f989181f1b28e5c]",1150.666209,1468,https://optimistic.etherscan.io/0x0e0f76cd5147d57a71caf656511d119fdf4583ff2d6a4059ca1b9d6dea7a90ef
0x544f21cc9885c0b0f00d80bd13c31d059d67656ebab537b23431213b1816f901,2025-06-08 12:57:25.000000 UTC,USDT,0x620531a726f22c6d3c78bd1003fec92dfbe0716a,tiny_transfer,0x1c3ee48413423dfd47b86b9d5cf416659dbd576541c39b0f6a47f371879aa597,[0x1c3ee48413423dfd47b86b9d5cf416659dbd576541c39b0f6a47f371879aa597],1117.850102,0,https://optimistic.etherscan.io/0x544f21cc9885c0b0f00d80bd13c31d059d67656ebab537b23431213b1816f901
0xa31afeea3664c3c1b3542958d1abe88cd1c2fa482aa31f3a54f49ee6b35a134e,2025-06-03 22:02:37.000000 UTC,USDC.e,0xcd96013a1648631e23ed7e4a74c373e7a2048a88,zero_value,0x79ed5f5bdb3f39aebad336494240e6701fec896b8154e3f5846608bd7fbcd05d,"[0x79ed5f5bdb3f39aebad336494240e6701fec896b8154e3f5846608bd7fbcd05d,0xb735ffddad7e9f7359ecb28ecfd6592d6178da785518773e4a03897b66645e21]",1003.14672,0,https://optimistic.etherscan.io/0xa31afeea3664c3c1b3542958d1abe88cd1c2fa482aa31f3a54f49ee6b35a134e
0x3a9de0014ac6a4ff399ceca1b675479b4f92f7ba565feb4f77092a0af582c139,2025-02-23 15:43:31.000000 UTC,USDC.e,0x0ff2d4d9b6df1c04a2efd5c57949f0916935b3bd,zero_value,0x3f97d172356f1c24efe55fb81c775a056fb9b100b9eb651ef0c7fd5e0ee3807c,"[0x5fd9abcb4113ee57da92077b8c3e2e961acb3134729d677ecab3501602efe55a,0x3f97d172356f1c24efe55fb81c775a056fb9b100b9eb651ef0c7fd5e0ee3807c,0x8967053ba3e2390021b63d1faf3b3c7c30508a8b5b33050115b4719cc31691fb,0x67b7b84448b4d753ce311cb82254980cb2181a1e921eeed1bef9c86bd034fa1e,0x5fd9abcb4113ee57da92077b8c3e2e961acb3134729d677ecab3501602efe55a,0x3f97d172356f1c24efe55fb81c775a056fb9b100b9eb651ef0c7fd5e0ee3807c]",806.455041,691,https://optimistic.etherscan.io/0x3a9de0014ac6a4ff399ceca1b675479b4f92f7ba565feb4f77092a0af582c139
0xedb45bb76967ebbcbb6b102336ca9375b6169a94120e06b634a85eff398029f1,2025-02-07 04:19:01.000000 UTC,USDT,0xb003543e80cea83462a2dc2d7771c9a69e7278b1,zero_value,0xd8eef4dd79aa7b8f5e5a8d922983a6a58290fc376120d57dec83579cb3e21333,"[0x1831a622b9ef3ed822590772ff12779e75b3c196133a0c5242a2a89fd729a263,0xd8eef4dd79aa7b8f5e5a8d922983a6a58290fc376120d57dec83579cb3e21333,0x18b12d1d321394f3a54419b5f9a46de4503158df2874daed8a788c76163fbd27]",300,847,https://optimistic.etherscan.io/0xedb45bb76967ebbcbb6b102336ca9375b6169a94120e06b634a85eff398029f1
0x4b05c97e94ae28cee4d7ad23ebe7856a0c4f16f45a70e6e31ff91a60ae774e47,2024-07-18 04:57:29.000000 UTC,USDT,0x7409244bb8bbf4a8fbaa404648b45238d213601b,zero_value,0xcfed4c8e4b58a91d7ce36761a5c45c242e4a4ae1ad91253f09e11abfa5e17a77,[0xcfed4c8e4b58a91d7ce36761a5c45c242e4a4ae1ad91253f09e11abfa5e17a77],296.8,0,https://optimistic.etherscan.io/0x4b05c97e94ae28cee4d7ad23ebe7856a0c4f16f45a70e6e31ff91a60ae774e47
0x6b2d3462ecabf25f9c206f3d574afdf5b83b51454559f9528c8ff3106c2b6992,2024-12-23 04:47:43.000000 UTC,USDC.e,0x05967e98988b7acd68605e2df86249ff393580cf,zero_value,0x25e1a59e6d7f1d8b5245ac4dc3ab9e185d2ef903b7bee85029dd759ae02e52c9,[0x25e1a59e6d7f1d8b5245ac4dc3ab9e185d2ef903b7bee85029dd759ae02e52c9],281.9,276,https://optimistic.etherscan.io/0x6b2d3462ecabf25f9c206f3d574afdf5b83b51454559f9528c8ff3106c2b6992
0x2cefec9e2873f6ef10bd50f7ac5e0353f705996539ae2d64483ce033c70bfe30,2025-06-02 14:33:27.000000 UTC,USDT,0xa2b0383c87633b39b740d5d5373ef64cc5c04452,tiny_transfer,0xbcbacedab553ad7eb238839da1c5b8a30b38c5a9bb573a21c678bcd86a083853,"[0xbcbacedab553ad7eb238839da1c5b8a30b38c5a9bb573a21c678bcd86a083853,0x74a761403800725b33dfcbbd127b172cd426236eac0e634eb417f6747c8dbe50]",203,132,https://optimistic.etherscan.io/0x2cefec9e2873f6ef10bd50f7ac5e0353f705996539ae2d64483ce033c70bfe30
0xc1db100ca37faa83c839d0572068483dffd7407c3509059b35c8cfc1de64b504,2025-03-19 13:41:21.000000 UTC,USDC.e,0x434b56e01a8bdd9ab8ae5ef1acf86e3372a877c3,zero_value,0xc27d2a524eec532de2b180093bd2b1cc6e72d15cd44122c8c952007de5691c73,"[0x0c213d2238b5f3571cf8cb4b968272eedb44149cbdd5565ab202e106dc795bd3,0x0c213d2238b5f3571cf8cb4b968272eedb44149cbdd5565ab202e106dc795bd3,0xcad585a3173959b6dc1ffe8a83976f529ecfbf15f7c9bdf8110a497ef8f3c08c,0xc27d2a524eec532de2b180093bd2b1cc6e72d15cd44122c8c952007de5691c73,0xf5e4c4aef5ce2fa8f0c30e5f3c6a2c015decf7f53a332a7ab1ade357eafc1f4b]",200,1175,https://optimistic.etherscan.io/0xc1db100ca37faa83c839d0572068483dffd7407c3509059b35c8cfc1de64b504
